timestamp,roll,pitch,yaw
1570178435167836,0.968881,-0.305589,-0.874662
1570178435183792,0.969917,-0.304539,-0.872232
1570178435204736,0.967639,-0.304247,-0.869407
1570178435229672,0.964658,-0.302974,-0.867237
1570178435249616,0.964512,-0.298356,-0.866176
1570178435264623,0.962439,-0.292774,-0.863682
1570178435288512,0.958238,-0.28925,-0.858489
1570178435319429,0.957501,-0.288415,-0.854056
1570178435321425,0.959649,-0.290017,-0.849258
1570178435340412,0.968631,-0.292211,-0.84497
1570178435355333,0.980313,-0.296521,-0.841462
1570178435379310,0.990893,-0.304624,-0.836994
1570178435400215,0.997901,-0.312176,-0.83286
1570178435455070,1.00552,-0.317189,-0.830624
1570178435455070,1.01287,-0.318883,-0.830488
1570178435462051,1.01533,-0.320331,-0.829946
1570178435475016,1.01622,-0.32152,-0.829522
1570178435497955,1.01669,-0.32407,-0.829309
1570178435511919,1.01836,-0.330074,-0.829892
1570178435534994,1.02266,-0.336861,-0.83231
1570178435556843,1.02613,-0.3407,-0.835618
1570178435579745,1.02594,-0.340366,-0.838153
1570178435594696,1.02459,-0.339612,-0.839845
1570178435616717,1.02454,-0.339069,-0.841881
1570178435632592,1.02596,-0.338999,-0.845845
1570178435654709,1.02573,-0.339562,-0.849687
1570178435677473,1.02295,-0.340399,-0.85205
1570178435692433,1.02023,-0.340716,-0.853379
1570178435714633,1.01903,-0.34018,-0.854791
1570178435737312,1.01782,-0.33951,-0.855987
1570178435752273,1.01513,-0.339147,-0.857199
1570178435774214,1.0116,-0.338941,-0.858325
1570178435797153,1.01022,-0.338897,-0.859386
1570178435812112,1.01079,-0.338818,-0.86016
1570178435834055,1.01289,-0.338725,-0.860664
1570178435856996,1.01504,-0.338671,-0.860161
1570178435871953,1.01578,-0.338852,-0.85953
1570178435894891,1.0148,-0.339316,-0.858368
1570178435916832,1.01236,-0.339509,-0.856894
1570178435931839,1.00787,-0.339601,-0.855269
1570178435954788,1.00148,-0.339023,-0.853084
1570178435976672,0.994551,-0.337599,-0.851388
1570178435999658,0.986831,-0.33542,-0.850882
1570178436014570,0.978963,-0.333046,-0.85097
1570178436036512,0.971681,-0.330407,-0.852497
1570178436059451,0.965724,-0.328253,-0.85527
1570178436082390,0.960725,-0.326156,-0.856998
1570178436097409,0.957512,-0.323741,-0.858058
1570178436119290,0.954282,-0.321324,-0.858685
1570178436134254,0.950465,-0.319258,-0.858847
1570178436157190,0.945751,-0.317366,-0.858337
1570178436173181,0.94085,-0.315818,-0.857229
1570178436194121,0.938189,-0.314857,-0.855392
1570178436217029,0.937546,-0.314597,-0.853249
1570178436231991,0.938461,-0.315057,-0.851934
1570178436255926,0.941935,-0.316515,-0.850972
1570178436276921,0.947609,-0.317807,-0.850608
1570178436291829,0.953796,-0.318123,-0.851365
1570178436314768,0.960888,-0.319589,-0.852117
1570178436336711,0.969662,-0.321102,-0.853699
1570178436359700,0.978606,-0.323164,-0.854527
1570178436374610,0.987878,-0.326437,-0.853407
1570178436396550,0.995231,-0.328444,-0.852452
1570178436419488,1.0016,-0.329975,-0.852626
1570178436436445,1.00638,-0.331761,-0.852923
1570178436457387,1.0096,-0.332484,-0.852568
1570178436479328,1.01225,-0.332116,-0.852224
1570178436496282,1.01415,-0.331015,-0.85246
1570178436517252,1.01421,-0.329126,-0.852842
1570178436535217,1.01324,-0.327404,-0.853796
1570178436556124,1.01097,-0.325535,-0.85504
1570178436577138,1.00835,-0.323683,-0.856903
1570178436595020,1.00587,-0.322399,-0.858729
1570178436616242,1.00276,-0.321139,-0.860462
1570178436640018,1.00093,-0.319984,-0.861883
1570178436654859,1.00038,-0.319197,-0.86268
1570178436675803,1.00033,-0.318521,-0.863448
1570178436696821,1.00003,-0.317914,-0.863867
1570178436714700,0.998267,-0.317573,-0.864007
1570178436742625,0.995259,-0.31773,-0.864103
1570178436756644,0.99174,-0.31821,-0.863596
1570178436774539,0.988856,-0.319194,-0.862893
1570178436797478,0.986544,-0.319792,-0.861887
1570178436824405,0.984705,-0.3202,-0.860814
1570178436834379,0.982552,-0.321053,-0.859869
1570178436857318,0.98008,-0.321643,-0.858813
1570178436877293,0.977835,-0.322349,-0.858196
1570178436895216,0.975858,-0.323235,-0.857641
1570178436917219,0.974106,-0.323671,-0.857505
1570178436937123,0.972291,-0.323092,-0.857797
1570178436955056,0.970634,-0.322342,-0.858347
1570178436976998,0.968573,-0.321848,-0.859037
1570178436996944,0.966339,-0.321231,-0.859443
1570178437015152,0.964266,-0.320532,-0.860007
1570178437037837,0.962751,-0.319664,-0.860699
1570178437056784,0.961902,-0.319117,-0.861537
1570178437074736,0.961348,-0.318825,-0.862036
1570178437097675,0.961431,-0.318811,-0.862653
1570178437116624,0.96178,-0.318975,-0.863329
1570178437134577,0.963024,-0.31913,-0.864044
1570178437157515,0.964377,-0.319634,-0.864562
1570178437177478,0.966088,-0.320457,-0.864811
1570178437195414,0.968158,-0.320652,-0.865291
1570178437222342,0.970213,-0.320259,-0.866158
1570178437237302,0.971421,-0.319818,-0.866815
1570178437255256,0.971421,-0.319818,-0.866815
1570178437277498,0.970818,-0.320031,-0.866115
1570178437297142,0.970712,-0.320611,-0.86507
1570178437315140,0.971072,-0.321345,-0.86386
1570178437338033,0.971743,-0.322079,-0.863069
1570178437357980,0.971902,-0.322373,-0.862705
1570178437374935,0.971386,-0.322224,-0.862718
1570178437397873,0.970537,-0.322175,-0.862506
1570178437418817,0.970537,-0.322175,-0.862506
1570178437434773,0.970468,-0.322365,-0.862445
1570178437457715,0.970404,-0.322301,-0.862377
1570178437478670,0.970285,-0.320091,-0.862385
1570178437494747,0.969876,-0.315653,-0.862761
1570178437517555,0.968493,-0.311018,-0.862378
1570178437538499,0.967597,-0.307419,-0.862628
1570178437562830,0.967374,-0.304796,-0.863696
1570178437577857,0.967266,-0.30275,-0.86544
1570178437598341,0.966314,-0.301462,-0.866264
1570178437613462,0.965698,-0.301429,-0.865862
1570178437636237,0.964618,-0.301909,-0.864692
1570178437659177,0.963006,-0.302373,-0.863314
1570178437673139,0.961799,-0.304094,-0.862062
1570178437697075,0.961323,-0.306888,-0.861259
1570178437719017,0.961172,-0.309981,-0.8609
1570178437734973,0.961107,-0.313147,-0.861057
1570178437756916,0.960336,-0.316516,-0.860621
1570178437779222,0.958574,-0.317411,-0.859427
1570178437793816,0.956379,-0.313928,-0.858816
1570178437816763,0.954095,-0.310704,-0.858771
1570178437846677,0.951912,-0.310168,-0.858812
1570178437853664,0.95045,-0.311425,-0.858677
1570178437876595,0.949774,-0.312271,-0.858457
1570178437899535,0.949622,-0.312472,-0.857777
1570178437913688,0.949987,-0.312424,-0.856858
1570178437937077,0.950501,-0.312549,-0.856096
1570178437959374,0.950909,-0.31238,-0.855855
1570178437980510,0.951969,-0.312413,-0.856275
1570178437997280,0.953553,-0.312805,-0.856805
1570178438027252,0.954721,-0.313187,-0.857024
1570178438033175,0.955096,-0.313374,-0.856979
1570178438057112,0.955231,-0.313335,-0.857005
1570178438079174,0.954965,-0.313123,-0.857372
1570178438094075,0.954965,-0.313123,-0.857372
1570178438116952,0.954965,-0.313123,-0.857372
