Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
27,-3,-2,0,-1,-2,-1,-6,-4,0.523926,-0.240234,0.845703,3.3125,-0.6875,-0.1875,81,58,96,43,27,2,-4,-10,-46,-53,-12,-0.696777,0.354004,0.764648,66.8125,-252,46.625,98,113,8
28,-2,0,0,-2,0,-2,-3,1,0.51709,-0.200195,0.839355,6.6875,1.125,-1.25,81,59,96,40,45,13,-43,-19,-33,4,2,-0.193359,0.148438,0.882324,80.3125,-205.312,71.8125,99,99,7
29,0,-2,-2,-2,-4,-3,-8,2,0.517578,-0.229492,0.842285,-10.1875,1.125,0.6875,81,59,96,-36,1,7,1,-1,-1,2,-4,0.347168,0.20459,0.907715,66.25,-164.312,41.25,102,88,6
30,-3,0,1,-2,-1,-1,3,-6,0.516113,-0.259277,0.844238,-3.25,1.5625,0.0625,81,59,96,-16,0,9,-23,-3,-10,15,-9,0.160156,0.483887,0.95752,10.625,-70.25,18,103,81,6
31,-2,-1,-1,0,-1,0,3,-4,0.523438,-0.233398,0.844238,-1,0.125,-0.125,81,59,96,5,11,-10,-2,-17,-75,-56,0,0.144043,0.788574,1.25293,78.8125,-28.5625,-3.25,104,80,6
32,-6,-1,-1,-2,-1,-3,6,-12,0.510742,-0.24707,0.834473,-0.4375,0.6875,-0.125,81,59,96,9,-13,-6,2,-1,0,1,-3,0.187988,0.268066,0.97998,-46.375,9.5625,15.8125,103,80,6
33,5,-1,0,-1,-2,0,-3,7,0.529785,-0.263184,0.825684,-0.5,-0.9375,0.1875,81,59,96,40,17,11,14,12,27,-4,1,0.113281,0.337891,0.924316,32.25,19.6875,-3.4375,103,80,6
34,-1,-1,1,-1,-1,-1,-1,-3,0.52002,-0.249023,0.839355,2.625,-0.625,0.125,81,59,96,-29,25,-23,-12,-21,-45,-33,-17,0.0888672,0.45459,0.842773,-5.0625,14.375,0.0625,103,81,7
35,-16,-2,-1,-1,-2,-3,-7,-6,0.519043,-0.241699,0.838867,1.5,-0.4375,-0.125,81,59,96,-7,-24,2,-3,-7,-25,6,1,0.121094,0.40625,0.842285,2.375,4.875,2.875,103,82,7
36,-5,0,0,-1,-1,-3,-10,-14,0.519531,-0.240723,0.842285,0.75,0,-0.125,81,59,96,-14,-2,-1,-1,1,3,-37,-13,0.135254,0.437012,0.849609,-1.1875,-1.5,2.5625,103,82,7
37,2,-1,-1,0,-1,0,4,-9,0.524902,-0.237305,0.837402,0.3125,-0.0625,-0.125,81,59,96,5,-2,-16,-7,-6,-31,16,3,0.119629,0.431641,0.874512,-5.75,-4,-2.8125,103,82,7
38,-7,-2,-2,-3,-1,-1,-3,-43,0.526855,-0.248047,0.837891,-0.875,-0.1875,-0.1875,81,59,96,3,-5,-2,-4,-8,-18,2,3,0.137695,0.461426,0.90332,-12,-0.5,-1.625,103,81,7
39,0,-3,-1,-2,0,0,1,6,0.522949,-0.248535,0.831055,-0.375,0.375,-0.3125,81,59,96,-6,-8,-2,2,0,-8,1,-6,0.103027,0.432129,0.929199,-8.1875,-0.0625,1.125,103,82,7
40,0,0,1,-1,1,-2,-2,10,0.522949,-0.250977,0.827637,-0.9375,0.375,-0.0625,81,59,96,3,10,3,4,-2,-5,3,-1,0.117188,0.413086,0.915527,-9.1875,2.8125,4.25,102,82,7
41,1,-1,-2,-1,-1,-1,-8,3,0.522949,-0.239746,0.833496,0.375,0.0625,0.25,81,59,96,-12,-23,-11,1,0,2,2,-5,0.090332,0.407227,0.914551,-8.875,0,8.9375,102,82,7
42,-2,-1,-2,-3,-1,-2,1,8,0.52002,-0.244629,0.834473,0.625,0.5,-0.3125,81,59,96,0,-3,-2,-6,-5,-2,-2,-2,0.100098,0.422363,0.900879,-1,-5.625,9.9375,102,82,7
43,-1,0,-1,-1,-1,-1,-8,5,0.529297,-0.240234,0.835449,-0.375,0,0.3125,81,59,96,-3,9,2,-1,0,2,5,3,0.126465,0.387695,0.92334,-6.4375,-3.8125,14.3125,102,81,7
44,0,1,-2,-1,0,1,14,9,0.515137,-0.246582,0.837402,0.375,-0.1875,-0.125,81,59,96,3,4,3,1,-1,-3,2,-1,0.128418,0.414551,0.938965,6.4375,-3,12.75,102,81,8
45,-4,-2,-1,-2,-1,-1,-5,-10,0.522461,-0.24707,0.835449,-0.9375,0.0625,0.125,81,59,96,-11,-1,0,-1,1,-3,0,0,0.136719,0.436035,0.918945,-4.875,5.5625,12.0625,102,81,8
46,0,-2,-1,-1,-2,0,0,-1,0.519531,-0.244141,0.839355,0.6875,-0.0625,-0.1875,81,59,96,-5,-4,-3,-6,-4,0,15,3,0.140625,0.404297,0.914062,2.9375,4.1875,13.625,102,81,8
47,1,-2,0,-1,-1,-1,-1,12,0.522949,-0.245605,0.835449,-0.4375,0.0625,-0.3125,81,59,96,7,9,4,1,1,0,15,4,0.153809,0.414551,0.89209,-2.4375,4.4375,8.375,102,81,9
48,-4,-3,-1,0,-2,0,-4,-5,0.522461,-0.244629,0.830078,0.625,-0.1875,-0.3125,81,59,96,-3,9,2,-2,-2,-4,-15,-4,0.171875,0.437012,0.911621,-1.0625,3.25,6.25,102,81,9
49,-3,-2,-2,-2,-2,-2,1,-8,0.527832,-0.248047,0.833496,-0.3125,-0.375,0.1875,81,59,96,-8,-4,-5,-4,-4,0,7,-3,0.157715,0.441895,0.911621,8.0625,2.9375,-1.125,102,81,9
50,-2,0,-1,-1,-1,-2,-2,-6,0.524902,-0.250977,0.83252,0.4375,-0.375,0.0625,81,59,96,-3,0,2,-3,-3,-15,-52,-7,0.15625,0.417969,0.909668,-6.1875,2.8125,-0.1875,102,81,9
