timestamp,roll,pitch,yaw
1569407304451693,1.15059,-0.405342,-1.94085
1569407304468659,1.14917,-0.404536,-1.94143
1569407304488604,1.14778,-0.403958,-1.94121
1569407304513909,1.14475,-0.400793,-1.94198
1569407304527537,1.14094,-0.397371,-1.94351
1569407304549479,1.13897,-0.394539,-1.9463
1569407304572878,1.13676,-0.392563,-1.94983
1569407304619785,1.13474,-0.391011,-1.95222
1569407304621755,1.1332,-0.389714,-1.95356
1569407304634006,1.13241,-0.388406,-1.9543
1569407304648674,1.13254,-0.387323,-1.95417
1569407304669618,1.13384,-0.387333,-1.95364
1569407304721891,1.13779,-0.38738,-1.95397
1569407304731874,1.14168,-0.386595,-1.95424
1569407304736440,1.14361,-0.387356,-1.95265
1569407304751856,1.14555,-0.389354,-1.9502
1569407304767111,1.14724,-0.390955,-1.94838
1569407304789452,1.14794,-0.390833,-1.94674
1569407304811841,1.14881,-0.390758,-1.94593
1569407304826396,1.15021,-0.392184,-1.94568
1569407304848339,1.15264,-0.393482,-1.94617
1569407304871234,1.15431,-0.395358,-1.94597
1569407304886229,1.15472,-0.397733,-1.94426
1569407304910158,1.15657,-0.399579,-1.94201
1569407304931074,1.16366,-0.399434,-1.94175
1569407304954015,1.17231,-0.397408,-1.94425
1569407304968974,1.17574,-0.396367,-1.94717
1569407304990915,1.17711,-0.396428,-1.95008
1569407305013854,1.17854,-0.396166,-1.95415
1569407305028815,1.17949,-0.394842,-1.95772
1569407305051753,1.17965,-0.394509,-1.95922
1569407305066713,1.18087,-0.396109,-1.9601
1569407305088654,1.18517,-0.396966,-1.96147
1569407305111593,1.19084,-0.396212,-1.96342
1569407305126553,1.1938,-0.394907,-1.96474
1569407305148495,1.19124,-0.394982,-1.9646
1569407305171434,1.18337,-0.396821,-1.9632
1569407305193375,1.17214,-0.399209,-1.9615
1569407305208334,1.15976,-0.399422,-1.96028
1569407305231273,1.14636,-0.398785,-1.95947
1569407305254244,1.13398,-0.398121,-1.95914
1569407305269173,1.12182,-0.397231,-1.95957
1569407305293141,1.1093,-0.396347,-1.95904
1569407305314052,1.10041,-0.398751,-1.95588
1569407305329023,1.09569,-0.398874,-1.95251
1569407305352946,1.10228,-0.397542,-1.95484
1569407305374894,1.11096,-0.398355,-1.95839
1569407305388852,1.11179,-0.399209,-1.9592
1569407305410819,1.10991,-0.396509,-1.96017
1569407305433734,1.10719,-0.393084,-1.96247
1569407305448691,1.10228,-0.392178,-1.96447
1569407305471631,1.09797,-0.393153,-1.9658
1569407305487587,1.09607,-0.392985,-1.96774
1569407305508531,1.09344,-0.39211,-1.96845
1569407305531471,1.09158,-0.392555,-1.96794
1569407305547451,1.09233,-0.394157,-1.96807
1569407305568370,1.09438,-0.395384,-1.96847
1569407305591310,1.09622,-0.397461,-1.9683
1569407305607268,1.09832,-0.399971,-1.96758
1569407305628212,1.10353,-0.401099,-1.96697
1569407305651149,1.10957,-0.401021,-1.96597
1569407305668105,1.11389,-0.401255,-1.96409
1569407305689048,1.11491,-0.403574,-1.96044
1569407305710990,1.11327,-0.405647,-1.95488
1569407305729939,1.11265,-0.405318,-1.94837
1569407305751881,1.11112,-0.404856,-1.94201
1569407305770831,1.10773,-0.404679,-1.93631
1569407305788810,1.10381,-0.400723,-1.93216
1569407305811748,1.10559,-0.392347,-1.93106
1569407305831668,1.10956,-0.385214,-1.93045
1569407305853609,1.1126,-0.380501,-1.92842
1569407305871561,1.11432,-0.375449,-1.92603
1569407305891541,1.11356,-0.374035,-1.92272
1569407305913476,1.11079,-0.377575,-1.91823
1569407305931400,1.10784,-0.381691,-1.91364
1569407305951390,1.1058,-0.383411,-1.90886
1569407305969299,1.10578,-0.382195,-1.90328
1569407305991240,1.10884,-0.378679,-1.89809
1569407306012185,1.11396,-0.375978,-1.89528
1569407306034164,1.11944,-0.376414,-1.89239
1569407306052079,1.12066,-0.378524,-1.89031
1569407306073024,1.11813,-0.379554,-1.89091
1569407306089610,1.11762,-0.379661,-1.89407
1569407306111554,1.12003,-0.379463,-1.89867
1569407306132498,1.12331,-0.380683,-1.90308
1569407306149487,1.12783,-0.382675,-1.90705
1569407306171394,1.13147,-0.38375,-1.91129
1569407306192352,1.13562,-0.384698,-1.91494
1569407306209330,1.13746,-0.385722,-1.91729
1569407306231234,1.13718,-0.386901,-1.91937
1569407306252220,1.13449,-0.387208,-1.92111
1569407306269132,1.13113,-0.38718,-1.92339
1569407306292072,1.12845,-0.386581,-1.92674
1569407306313015,1.12724,-0.385913,-1.93059
1569407306327976,1.12485,-0.385737,-1.93276
1569407306350915,1.12184,-0.38576,-1.93371
1569407306373857,1.11978,-0.385462,-1.93402
1569407306394796,1.12016,-0.384764,-1.93563
1569407306410753,1.12215,-0.384781,-1.93841
1569407306433695,1.12371,-0.385678,-1.94094
1569407306454639,1.12296,-0.387383,-1.94118
1569407306470594,1.12073,-0.389679,-1.93839
1569407306493532,1.11908,-0.391644,-1.93412
1569407306507495,1.11902,-0.392065,-1.93011
1569407306530472,1.12095,-0.391445,-1.92793
1569407306553373,1.12246,-0.390067,-1.9271
1569407306567336,1.11813,-0.388474,-1.92699
1569407306591276,1.11235,-0.387797,-1.92556
1569407306613212,1.11034,-0.385964,-1.92478
1569407306627217,1.11068,-0.386124,-1.92541
1569407306651155,1.11086,-0.38724,-1.92493
1569407306673053,1.11012,-0.387609,-1.92417
1569407306688050,1.10803,-0.387171,-1.92346
1569407306710952,1.10645,-0.387074,-1.92136
1569407306732894,1.10826,-0.387905,-1.91939
1569407306747853,1.1125,-0.387378,-1.91926
1569407306770791,1.11866,-0.385553,-1.92167
1569407306793731,1.12258,-0.383065,-1.92549
1569407306814674,1.12356,-0.38107,-1.92932
1569407306830632,1.12308,-0.379604,-1.93332
1569407306853571,1.12284,-0.37768,-1.93786
1569407306874515,1.12277,-0.376797,-1.94159
1569407306890471,1.12295,-0.377518,-1.94282
1569407306913411,1.12378,-0.379917,-1.94215
1569407306934355,1.12502,-0.3821,-1.94068
1569407306951310,1.12648,-0.383722,-1.93841
1569407306973251,1.12897,-0.386276,-1.93593
1569407306994194,1.13224,-0.389394,-1.93303
1569407307011149,1.13628,-0.391036,-1.93039
1569407307033090,1.14054,-0.391436,-1.92834
