timestamp,roll,pitch,yaw
1570181942971500,0.902752,-0.205982,0.136884
1570181942986265,0.902752,-0.205982,0.136884
1570181943010240,0.902718,-0.205974,0.136871
1570181943031141,0.902592,-0.206023,0.137006
1570181943046099,0.902045,-0.206097,0.137011
1570181943070027,0.901495,-0.205894,0.137006
1570181943123885,0.901495,-0.205894,0.137006
1570181943124882,0.901654,-0.206018,0.136946
1570181943153819,0.901654,-0.206018,0.136946
1570181943155800,0.901499,-0.206005,0.136954
1570181943159789,0.901654,-0.206018,0.136946
1570181943182728,0.90122,-0.20571,0.136973
1570181943203680,0.90122,-0.20571,0.136973
1570181943251548,0.90122,-0.20571,0.136973
1570181943251548,0.90122,-0.20571,0.136973
1570181943264552,0.901105,-0.205484,0.136819
1570181943279512,0.900279,-0.205428,0.136904
1570181943301414,0.899574,-0.205378,0.136969
1570181943325413,0.899183,-0.205299,0.136905
1570181943348369,0.898633,-0.205262,0.136962
1570181943370308,0.898083,-0.205225,0.137019
1570181943385240,0.897534,-0.205022,0.137014
1570181943408175,0.897534,-0.205022,0.137014
1570181943429266,0.89738,-0.205009,0.137022
1570181943446025,0.89738,-0.205009,0.137022
1570181943467972,0.89738,-0.205009,0.137022
1570181943490968,0.897534,-0.205022,0.137014
1570181943505868,0.897534,-0.205022,0.137014
1570181943527815,0.89738,-0.205009,0.137022
1570181943550745,0.897414,-0.205017,0.137035
1570181943565714,0.89738,-0.205009,0.137022
1570181943587781,0.897414,-0.205017,0.137035
1570181943610584,0.897414,-0.205017,0.137035
1570181943625556,0.897414,-0.205017,0.137035
1570181943648485,0.897414,-0.205017,0.137035
1570181943670424,0.897414,-0.205017,0.137035
1570181943684438,0.897143,-0.204944,0.13695
1570181943708322,0.896555,-0.204954,0.137107
1570181943730265,0.896555,-0.204954,0.137107
1570181943745232,0.896555,-0.204954,0.137107
1570181943768244,0.897364,-0.205338,0.137425
1570181943791276,0.900348,-0.205869,0.138072
1570181943805074,0.902729,-0.207457,0.138787
1570181943828011,0.903378,-0.209097,0.138917
1570181943850940,0.905141,-0.209928,0.138508
1570181943872035,0.904866,-0.209316,0.137336
1570181943887843,0.903721,-0.208252,0.136279
1570181943910789,0.902547,-0.207625,0.13528
1570181943925748,0.902543,-0.207514,0.135332
1570181943947733,0.903189,-0.207996,0.135883
1570181943977609,0.904446,-0.208842,0.137023
1570181943991564,0.905208,-0.209717,0.137788
1570181944007807,0.905208,-0.209717,0.137788
1570181944030476,0.905635,-0.209639,0.137803
1570181944051499,0.906344,-0.209358,0.137615
1570181944068419,0.909312,-0.209334,0.137946
1570181944090300,0.914658,-0.210086,0.138168
1570181944113243,0.918949,-0.21199,0.141486
1570181944128207,0.924955,-0.213783,0.149269
1570181944150899,0.936979,-0.21602,0.15867
1570181944172083,0.957123,-0.215236,0.163852
1570181944188041,0.984088,-0.213036,0.160575
1570181944210996,1.00831,-0.21533,0.157927
1570181944232919,1.01886,-0.216965,0.156495
1570181944255860,1.01719,-0.218032,0.153311
1570181944276858,1.00697,-0.217471,0.149785
1570181944293130,0.997941,-0.215602,0.146053
1570181944315709,0.99094,-0.215498,0.141677
1570181944343825,0.985339,-0.217567,0.137328
1570181944352602,0.978213,-0.21951,0.136678
1570181944375689,0.973506,-0.217013,0.138046
1570181944396830,0.976116,-0.20847,0.138584
1570181944413438,0.981931,-0.202611,0.138483
1570181944435386,0.992026,-0.20367,0.138391
1570181944456360,1.00094,-0.205954,0.139253
1570181944473284,1.00565,-0.208082,0.139746
1570181944495258,1.00759,-0.210321,0.139806
1570181944516174,1.0073,-0.213113,0.139867
1570181944533351,1.00626,-0.215465,0.140057
1570181944556061,1.00683,-0.216944,0.140073
1570181944576999,1.00979,-0.216717,0.139978
1570181944592965,1.01611,-0.213376,0.140803
1570181944615895,1.0233,-0.20124,0.141546
1570181944636849,1.02079,-0.185719,0.142962
1570181944652889,1.00744,-0.173131,0.14817
1570181944675740,0.989958,-0.15526,0.156012
1570181944696915,0.968253,-0.128699,0.164259
1570181944712637,0.949796,-0.0861156,0.177835
1570181944735585,0.937612,-0.0311558,0.198788
1570181944756522,0.926788,0.0361898,0.222059
1570181944773011,0.909499,0.112864,0.246115
1570181944795416,0.887007,0.195442,0.27428
1570181944816804,0.861793,0.279779,0.307433
1570181944832325,0.842662,0.362272,0.346631
1570181944862448,0.835895,0.442111,0.395442
1570181944877197,0.848767,0.514854,0.450976
1570181944899192,0.877215,0.580581,0.509772
1570181944923074,0.911325,0.641165,0.574095
1570181944937113,0.95175,0.695844,0.643419
1570181944952998,0.992434,0.740655,0.716617
1570181944975932,1.02989,0.780534,0.788687
1570181944997874,1.0662,0.81371,0.859159
1570181945011842,1.1027,0.84061,0.928025
1570181945035774,1.13931,0.86178,0.993394
1570181945057715,1.17302,0.878691,1.05128
1570181945078705,1.20505,0.892572,1.09819
1570181945095611,1.23069,0.901006,1.13195
1570181945117755,1.24858,0.90766,1.15525
1570181945123592,1.25816,0.912467,1.16719
