timestamp,Pitch,Roll,Yaw
1573315390970139,-0.0781702,0.632643,-0.267823
1573315390992587,-0.0623437,0.632507,-0.265801
1573315391015032,-0.0499272,0.631169,-0.264582
1573315391029672,-0.0401384,0.629556,-0.264629
1573315391052150,-0.0322634,0.628725,-0.264842
1573315391074573,-0.0261508,0.628165,-0.265145
1573315391090185,-0.0215586,0.627324,-0.266059
1573315391112633,-0.01679,0.626104,-0.267678
1573315391135104,-0.0101036,0.623874,-0.269675
1573315391149727,-0.00157699,0.619684,-0.271777
1573315391172194,0.00995652,0.614176,-0.273821
1573315391194619,0.0253173,0.608324,-0.276423
1573315391209848,0.0438091,0.601857,-0.278262
1573315391232318,0.0658364,0.594984,-0.279456
1573315391254766,0.0918059,0.588407,-0.279659
1573315391269388,0.121653,0.581314,-0.279087
1573315391291836,0.154505,0.574475,-0.277047
1573315391315256,0.189541,0.567679,-0.273401
1573315391329895,0.227147,0.562469,-0.268105
1573315391352343,0.266344,0.560207,-0.260447
1573315391374791,0.307952,0.559314,-0.251765
1573315391398239,0.351139,0.558304,-0.242158
1573315391412237,0.394604,0.556557,-0.231822
1573315391434707,0.437186,0.556361,-0.219434
1573315391450301,0.479746,0.558818,-0.20666
1573315391472751,0.522939,0.564298,-0.193997
1573315391495199,0.56281,0.570355,-0.181116
1573315391509837,0.600698,0.574758,-0.170086
1573315391532282,0.637169,0.581341,-0.157761
1573315391554730,0.673702,0.587893,-0.14621
1573315391570473,0.708341,0.595274,-0.135047
1573315391592853,0.741187,0.602463,-0.123693
1573315391615248,0.770278,0.60778,-0.113635
1573315391630068,0.795418,0.61306,-0.104826
1573315391652332,0.816819,0.61999,-0.0962838
1573315391674789,0.834755,0.626198,-0.0892567
1573315391689420,0.848133,0.631152,-0.0827037
1573315391711866,0.860927,0.634403,-0.0772837
1573315391734313,0.873026,0.636296,-0.0733441
1573315391749930,0.883108,0.636981,-0.0701754
1573315391772378,0.891839,0.638279,-0.0672481
1573315391795802,0.899605,0.638931,-0.0651744
1573315391811418,0.906156,0.63965,-0.063076
1573315391833866,0.911876,0.639993,-0.0612547
1573315391855338,0.914728,0.640372,-0.0590978
1573315391870956,0.916919,0.638642,-0.0580022
1573315391893403,0.917698,0.636542,-0.057418
1573315391914874,0.918351,0.637355,-0.0562794
1573315391931466,0.919394,0.640017,-0.0540786
1573315391951961,0.920429,0.642327,-0.053759
1573315391974417,0.923259,0.64959,-0.0462807
1573315391996863,0.923522,0.656399,-0.0368634
1573315392012478,0.921508,0.659239,-0.0319771
1573315392035011,0.923507,0.660846,-0.0307629
1573315392051526,0.925513,0.663031,-0.026697
1573315392072018,0.92876,0.662427,-0.0237957
1573315392094461,0.931361,0.663184,-0.0213693
1573315392111050,0.932643,0.663556,-0.02041
1573315392132522,0.935999,0.663405,-0.0206313
1573315392154969,0.939258,0.663804,-0.0197777
1573315392172537,0.942076,0.66421,-0.0184841
1573315392192058,0.944668,0.664225,-0.0175978
1573315392214505,0.946738,0.665667,-0.0162476
1573315392231097,0.94894,0.667194,-0.0142754
1573315392252658,0.95019,0.668005,-0.0123213
1573315392275049,0.950474,0.668755,-0.0103422
1573315392291627,0.950812,0.669624,-0.00909485
1573315392312145,0.951102,0.669983,-0.00765047
1573315392334627,0.950963,0.669357,-0.00629227
1573315392351147,0.950183,0.667727,-0.0057813
1573315392372679,0.948442,0.666532,-0.00489381
1573315392395139,0.94627,0.664548,-0.00464139
1573315392411659,0.942801,0.662273,-0.00335515
1573315392432226,0.936752,0.659893,-0.000850875
1573315392454674,0.927231,0.658627,0.00241709
1573315392471193,0.913916,0.660941,0.00653879
1573315392492735,0.895374,0.666372,0.010055
1573315392515205,0.86789,0.67367,0.00900079
1573315392531708,0.819204,0.669435,-0.00807101
1573315392552201,0.758681,0.664708,-0.0281261
1573315392574648,0.698844,0.661997,-0.0469098
1573315392591243,0.644791,0.660278,-0.0651867
1573315392615643,0.599822,0.651996,-0.0806301
1573315392635165,0.561696,0.642854,-0.0933322
1573315392650779,0.538794,0.637031,-0.102728
1573315392672248,0.52958,0.631874,-0.108983
1573315392694696,0.529505,0.624459,-0.112733
1573315392727881,0.53589,0.617576,-0.115356
1573315392733736,0.543821,0.613212,-0.117182
1573315392763015,0.550432,0.611717,-0.117439
1573315392778632,0.554962,0.612735,-0.116221
1573315392793271,0.557654,0.61462,-0.113939
1573315392814744,0.558755,0.616468,-0.111233
1573315392846952,0.558138,0.617784,-0.108792
1573315392855735,0.555658,0.618266,-0.107131
1573315392875255,0.550291,0.616702,-0.106796
1573315392891847,0.541048,0.611683,-0.10785
1573315392913322,0.527765,0.605528,-0.110337
1573315392934796,0.509328,0.597547,-0.115408
1573315392951385,0.483448,0.589452,-0.122506
1573315392973837,0.451195,0.580805,-0.130493
1573315393003117,0.410446,0.574347,-0.137711
1573315393010922,0.360502,0.572671,-0.142709
1573315393033376,0.303693,0.57173,-0.148675
1573315393054839,0.244576,0.570307,-0.15838
1573315393071434,0.183596,0.571823,-0.169614
1573315393093882,0.119854,0.580318,-0.180361
1573315393115369,0.0556237,0.594415,-0.191118
1573315393130978,-0.0063458,0.610342,-0.204173
1573315393153418,-0.0632279,0.625065,-0.215691
1573315393174889,-0.114627,0.634575,-0.222197
1573315393191479,-0.159645,0.638157,-0.227886
1573315393213931,-0.19814,0.640828,-0.233558
1573315393234447,-0.228931,0.64815,-0.239677
1573315393251024,-0.256483,0.656437,-0.247062
1573315393273466,-0.281969,0.662385,-0.253696
1573315393294937,-0.306279,0.666763,-0.257312
1573315393310574,-0.326935,0.67025,-0.260333
1573315393333027,-0.34091,0.675177,-0.262991
1573315393371069,-0.350738,0.680721,-0.264723
1573315393377905,-0.358842,0.684178,-0.265903
1573315393394487,-0.366968,0.684692,-0.267512
1573315393430597,-0.375243,0.68388,-0.2694
1573315393447190,-0.383577,0.683968,-0.270992
1573315393461833,-0.392011,0.684038,-0.273945
1573315393483392,-0.400234,0.682367,-0.276778
1573315393499897,-0.402888,0.67949,-0.28156
1573315393512583,-0.399333,0.679217,-0.279747
1573315393535030,-0.398529,0.682373,-0.278248
1573315393558458,-0.400875,0.683869,-0.274891
1573315393573095,-0.407464,0.6846,-0.272819
1573315393595567,-0.416226,0.684305,-0.271714
1573315393610184,-0.422042,0.684573,-0.271622
1573315393632631,-0.423837,0.684088,-0.271925
1573315393655106,-0.423871,0.683249,-0.273695
1573315393670702,-0.424589,0.682934,-0.276014
1573315393693142,-0.42663,0.683076,-0.278419
1573315393715590,-0.429318,0.683552,-0.280493
1573315393730229,-0.43193,0.684703,-0.282198
1573315393753655,-0.433625,0.68628,-0.283277
1573315393775126,-0.435024,0.688644,-0.284438
1573315393791718,-0.436152,0.690864,-0.285877
1573315393813190,-0.437294,0.69249,-0.287026
1573315393838566,-0.438838,0.693372,-0.287992
1573315393853205,-0.440339,0.694157,-0.288655
1573315393872729,-0.441583,0.693976,-0.288967
1573315393889321,-0.443187,0.693745,-0.288727
1573315393911768,-0.44525,0.693644,-0.288184
1573315393933243,-0.447044,0.693795,-0.287723
1573315393948855,-0.449208,0.694276,-0.287241
1573315393972279,-0.451464,0.695358,-0.286425
