timestamp,Pitch,Roll,Yaw
1573323835053205,0.04215,0.765678,-1.69226
1573323835076626,0.106794,0.765958,-1.66381
1573323835097122,0.171958,0.772378,-1.63249
1573323835113714,0.235894,0.780065,-1.59947
1573323835136168,0.297912,0.782262,-1.56595
1573323835158611,0.356308,0.786137,-1.53149
1573323835173249,0.410314,0.793531,-1.49375
1573323835196673,0.461796,0.80243,-1.45528
1573323835219124,0.508903,0.816022,-1.41493
1573323835240597,0.551866,0.829758,-1.37283
1573323835256216,0.590357,0.847935,-1.33017
1573323835278666,0.624037,0.867415,-1.28874
1573323835299959,0.653235,0.883629,-1.25114
1573323835316557,0.675775,0.901783,-1.21523
1573323835338996,0.696042,0.922157,-1.17944
1573323835360473,0.717175,0.938325,-1.14553
1573323835376094,0.733893,0.955099,-1.11394
1573323835399208,0.747126,0.974757,-1.08392
1573323835419724,0.760701,0.992529,-1.05847
1573323835436297,0.770134,1.00568,-1.03735
1573323835458744,0.777732,1.01875,-1.01943
1573323835480287,0.783385,1.02848,-1.01093
1573323835496501,0.789421,1.035,-1.01302
1573323835526750,0.789937,1.03915,-1.02146
1573323835540413,0.789607,1.04199,-1.02816
1573323835556027,0.79182,1.04225,-1.03293
1573323835579452,0.796422,1.04419,-1.03802
1573323835600476,0.803776,1.04738,-1.04507
1573323835616091,0.81251,1.04816,-1.05423
1573323835639512,0.820998,1.04946,-1.06502
1573323835662930,0.829586,1.0517,-1.07768
1573323835676593,0.83857,1.05545,-1.0892
1573323835699041,0.848562,1.05962,-1.09993
1573323835719536,0.859371,1.06219,-1.11077
1573323835737103,0.869448,1.06259,-1.1224
1573323835758578,0.877423,1.0587,-1.1395
1573323835780050,0.878593,1.0531,-1.16282
1573323835804450,0.874688,1.05115,-1.18512
1573323835819090,0.870275,1.05035,-1.20318
1573323835839615,0.866706,1.04257,-1.22304
1573323835856179,0.861803,1.02532,-1.25133
1573323835880594,0.850511,1.00166,-1.28972
1573323835900122,0.835046,0.988109,-1.32592
1573323835915713,0.822323,0.981274,-1.34934
1573323835939136,0.811519,0.970338,-1.36774
1573323835959637,0.79662,0.954394,-1.38669
1573323835976226,0.779249,0.941287,-1.40832
1573323835998678,0.764175,0.935378,-1.42544
1573323836020170,0.75157,0.930031,-1.4394
1573323836036738,0.738407,0.919192,-1.45416
1573323836059190,0.725854,0.905809,-1.47099
1573323836081634,0.71381,0.895957,-1.48613
1573323836096272,0.703034,0.887503,-1.49725
1573323836118725,0.694438,0.87876,-1.50624
1573323836141174,0.686326,0.869679,-1.51619
1573323836155810,0.677615,0.863954,-1.52484
1573323836179232,0.668159,0.86221,-1.53212
1573323836201678,0.656501,0.859902,-1.53849
1573323836222175,0.64308,0.855856,-1.54421
1573323836238765,0.628131,0.848833,-1.5509
1573323836261214,0.611367,0.840587,-1.56016
1573323836282685,0.591146,0.83155,-1.57269
1573323836299278,0.567212,0.821209,-1.58821
1573323836321725,0.538169,0.812566,-1.60583
1573323836342228,0.504122,0.80602,-1.6229
1573323836358819,0.465136,0.800336,-1.63903
1573323836381265,0.422478,0.794926,-1.65616
1573323836402736,0.377837,0.794942,-1.67295
1573323836426156,0.330529,0.800724,-1.68951
1573323836442754,0.280906,0.806469,-1.70543
1573323836462293,0.230341,0.806486,-1.72066
1573323836478864,0.180284,0.801938,-1.73484
1573323836501312,0.128781,0.798594,-1.74856
1573323836522787,0.0767199,0.79856,-1.76284
