timestamp,roll,pitch,yaw
1570179959825653,0.984663,-0.25487,-0.734301
1570179959839615,0.984115,-0.254485,-0.734486
1570179959860560,0.983671,-0.254327,-0.734693
1570179959884496,0.98352,-0.254188,-0.734852
1570179959899454,0.983616,-0.253865,-0.735136
1570179959921395,0.984205,-0.253393,-0.735352
1570179959976860,0.985201,-0.253033,-0.735761
1570179959979242,0.98629,-0.253034,-0.735971
1570179959980057,0.987068,-0.252979,-0.736192
1570179959990246,0.987533,-0.252867,-0.736426
1570179960011243,0.987533,-0.252867,-0.736426
1570179960026118,0.987533,-0.252867,-0.736426
1570179960053043,0.987533,-0.252867,-0.736426
1570179960102917,0.986557,-0.252958,-0.736456
1570179960103915,0.985089,-0.252734,-0.736721
1570179960109896,0.983679,-0.252287,-0.737028
1570179960131896,0.982366,-0.251824,-0.737215
1570179960146810,0.981516,-0.251469,-0.737317
1570179960168742,0.980676,-0.251285,-0.737235
1570179960190675,0.979995,-0.251396,-0.73722
1570179960205636,0.979362,-0.251419,-0.737026
1570179960228623,0.978304,-0.25154,-0.736756
1570179960250515,0.977415,-0.251662,-0.736536
1570179960265525,0.976463,-0.251545,-0.736454
1570179960288452,0.976321,-0.251578,-0.736428
1570179960311356,0.976274,-0.251506,-0.73637
1570179960326459,0.976133,-0.251539,-0.736345
1570179960348527,0.976133,-0.251539,-0.736345
1570179960371388,0.976133,-0.251539,-0.736345
1570179960386303,0.976482,-0.251495,-0.736576
1570179960408198,0.976265,-0.251422,-0.736468
1570179960431127,0.976265,-0.251422,-0.736468
1570179960446002,0.976265,-0.251422,-0.736468
1570179960468934,0.97619,-0.251316,-0.736386
1570179960491292,0.97619,-0.251316,-0.736386
1570179960506059,0.97621,-0.251267,-0.736508
1570179960528801,0.97621,-0.251267,-0.736508
1570179960550906,0.976237,-0.251301,-0.736532
1570179960565730,0.976077,-0.251383,-0.736385
1570179960588754,0.976077,-0.251383,-0.736385
1570179960610746,0.976077,-0.251383,-0.736385
1570179960633498,0.976077,-0.251383,-0.736385
1570179960648464,0.975954,-0.251367,-0.736482
1570179960671593,0.975879,-0.251261,-0.736399
1570179960693691,0.975907,-0.251295,-0.736423
1570179960708291,0.975766,-0.251328,-0.736398
1570179960757163,0.975766,-0.251328,-0.736398
1570179960762323,0.975766,-0.251328,-0.736398
1570179960768339,0.975361,-0.251056,-0.735969
1570179960791407,0.974701,-0.251027,-0.734868
1570179960806037,0.974616,-0.251037,-0.733683
1570179960828022,0.975596,-0.251318,-0.732262
1570179960859936,0.974127,-0.25224,-0.731877
1570179960865921,0.973843,-0.253843,-0.731961
1570179960887819,0.973651,-0.255951,-0.731199
1570179960911748,0.973282,-0.257743,-0.731219
1570179960925826,0.974912,-0.259225,-0.732439
1570179960948790,0.975242,-0.259931,-0.732946
1570179960972584,0.97652,-0.260206,-0.733806
1570179960985554,0.97824,-0.259812,-0.735601
1570179961008489,0.980242,-0.259117,-0.736883
1570179961030432,0.981662,-0.258584,-0.737044
1570179961045439,0.984997,-0.257908,-0.737461
