Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
26,1,0,1,-1,0,0,2,14,-0.717773,-0.644531,0.373047,-0.6875,-0.75,-0.0625,60,134,113,2,2,2,0,-1,5,0,-1,-0.626465,-0.438477,0.866211,30.3125,41.75,-1.9375,74,120,74
27,-2,0,-1,-1,-2,-1,-1,0,-0.702148,-0.596191,0.372559,2.25,-1.0625,-0.4375,60,134,113,-1,-4,-10,-17,-19,-21,-3,-1,-0.60791,-0.241211,0.793457,58.4375,24.9375,13,76,122,73
28,-2,-2,-3,-1,-1,-1,-2,-3,-0.713379,-0.60498,0.376465,-1.9375,-0.9375,-2.5,60,134,113,-2,1,1,-5,-12,-9,-3,-1,-0.570801,-0.104492,0.687012,111.875,30.625,32.1875,79,124,74
29,0,1,0,-1,-1,-1,0,0,-0.737305,-0.611328,0.371094,-5.5,-0.9375,-3.75,60,134,113,15,3,2,7,16,27,24,36,-0.59082,-0.10791,0.744141,111.312,31,38.375,82,126,75
30,-1,-1,-2,1,-2,-1,-2,-1,-0.72168,-0.636719,0.383789,-4.75,0.4375,-0.75,60,134,113,-4,-1,1,-1,2,6,4,-5,-0.651855,-0.0947266,0.783203,101.25,26.625,44.5,85,127,76
31,-1,0,-4,0,-2,-1,-4,0,-0.709473,-0.59668,0.388184,4.125,1.25,-1.5,60,134,113,-1,-3,-5,-5,2,-5,-1,-4,-0.75,-0.143066,0.838867,68.1875,25.5,44.625,88,129,77
32,-3,-2,-1,-2,-1,-1,-1,-1,-0.725098,-0.577637,0.379395,2.125,1.25,-0.5,60,134,113,-1,-2,1,4,5,2,-3,-3,-0.88916,-0.274902,0.891113,98.1875,23.6875,9.0625,90,131,78
33,-1,-2,-3,-1,-2,-2,-2,0,-0.687988,-0.644043,0.375,-5.0625,2,-3.5625,60,134,113,2,-2,-1,-1,2,5,2,0,-0.864258,-0.015625,0.902832,115.875,4.6875,-10.4375,92,132,77
34,-1,-1,1,-2,0,-1,-1,-3,-0.705566,-0.647949,0.350586,2.8125,2.125,-3.5,60,134,112,2,2,4,0,-2,0,6,3,-0.73291,0.0332031,0.799316,104.188,-20.75,-9.375,95,131,77
35,-1,1,-3,-2,-1,-1,0,-1,-0.711914,-0.619629,0.336914,-4.75,0.4375,-5.8125,60,134,112,9,7,3,7,6,4,2,2,-0.568359,0.180664,0.802246,114.438,-23.75,-12.3125,97,130,77
36,-1,0,-1,-1,-2,-2,-1,-2,-0.705566,-0.641113,0.347168,-9.0625,0.9375,-7.875,59,133,112,-2,-3,-4,-10,-6,-3,-1,-2,-0.645508,0.20459,0.729492,94.625,-30.6875,-18.5,99,129,76
37,-1,-2,1,-1,-1,-3,-3,-4,-0.724609,-0.653809,0.368652,-7.5625,-1.8125,-5.5625,59,133,112,-25,-10,-12,-8,0,3,1,-8,-0.657715,0.241699,0.720215,103.375,-28.5625,-14.9375,101,128,75
38,-1,0,0,-1,-2,-1,-2,-1,-0.710938,-0.64502,0.373047,-1.8125,-1.1875,-3.875,59,133,112,-1,-2,-4,-3,-5,-5,-6,-2,-0.663086,0.37793,0.806152,79.625,-19.1875,-8.125,103,127,74
39,-1,0,0,-2,-3,0,1,5,-0.702637,-0.647949,0.370605,-2.8125,-0.375,-1.75,59,133,112,-4,-4,-2,-3,-2,-1,-2,-3,-0.633301,0.346191,0.855469,1.5,-9.8125,-1.5625,104,126,74
40,-1,-1,-2,-1,-1,1,0,-1,-0.716309,-0.663574,0.355469,0.3125,0.5625,0.75,59,133,112,-1,-1,-2,0,-5,-4,-4,-1,-0.618652,0.359375,0.78418,6.3125,-3.1875,5.5625,104,126,74
41,-1,-3,-1,-1,-2,-2,-2,-2,-0.693848,-0.647461,0.337891,1.875,0.25,0.8125,59,133,112,0,0,3,4,10,10,5,1,-0.600098,0.408203,0.672852,-16.3125,1.9375,-2.9375,103,126,74
42,0,1,1,0,-2,0,0,-2,-0.703613,-0.637695,0.344727,-3.0625,-1.375,-1,59,133,112,3,-3,-4,-2,-3,-5,-1,0,-0.619141,0.350098,0.704102,-18.625,0.25,-4,103,126,74
43,0,0,1,-2,0,-2,-1,1,-0.706543,-0.638672,0.355957,-3.4375,-1.625,-0.75,59,133,112,-5,4,2,3,7,6,1,-1,-0.65332,0.349121,0.716309,3.875,-1.75,-2.5625,103,127,74
44,-1,-1,-1,-2,-1,-1,2,3,-0.713867,-0.650879,0.373047,-0.3125,-0.625,-0.1875,59,133,112,3,2,1,0,1,0,-3,0,-0.652344,0.370605,0.72168,2.5625,-0.375,-1.5,103,127,73
45,-2,-1,-2,0,0,-2,0,-2,-0.708496,-0.649902,0.36084,1.75,0.125,0.5,59,133,112,2,1,-1,-4,-5,-3,1,-1,-0.639648,0.368164,0.713379,-2.25,-1.1875,-0.6875,103,127,73
46,0,-1,-3,-2,-2,-1,-1,0,-0.703613,-0.63623,0.357422,2.375,-0.5625,0.875,59,133,112,-9,0,0,1,0,1,2,0,-0.634277,0.363281,0.706055,1.0625,-2.875,-0.5625,103,127,73
47,-1,-1,-3,-1,-1,-1,1,1,-0.708008,-0.634277,0.352051,-0.4375,-0.5625,-0.0625,59,133,112,-2,-1,-4,-2,2,-2,-2,1,-0.632812,0.382812,0.719238,2.6875,-3.375,0.375,103,127,73
48,0,-1,-1,0,0,-2,-2,0,-0.708496,-0.646484,0.359863,0.125,-0.375,-0.1875,59,133,112,2,2,-5,-5,-6,-13,-5,0,-0.637695,0.358887,0.735352,1.75,-3.125,-1.375,103,127,73
49,-2,-2,0,-1,-2,-2,-1,0,-0.70752,-0.639648,0.360352,0.5625,0.1875,-0.125,59,133,112,0,-2,-3,-2,-3,-2,-2,-1,-0.644043,0.366699,0.737793,0.375,-2.5,-0.5625,103,127,73
50,0,-2,-2,0,-1,-2,-3,-2,-0.709473,-0.637207,0.353516,0.6875,-0.1875,0.0625,59,133,112,1,-3,-1,-1,-6,-7,-2,0,-0.628418,0.356934,0.725098,-0.875,-3.125,-0.5625,103,126,73
