,timestamp,x,y,z,w,roll,pitch,yaw
24,192491789750,0.50238,-0.361511,0.626099,0.474121,-0.6229389047146485,-1.3330836870972442,-0.43320553120542843
25,192491818546,0.502441,-0.358643,0.625732,0.476746,-0.7499152130884612,-1.3283353566336131,-0.5408220249210086
26,192491826803,0.49279799999999996,-0.35925300000000004,0.623352,0.48925799999999997,-0.8308312605196563,-1.308928251351606,-0.6002632520642978
27,192491855292,0.48205600000000004,-0.366638,0.622925,0.49505600000000005,-0.5810733077039906,-1.3000896060266223,-0.3746927988282799
28,192491870338,0.46972700000000006,-0.372864,0.626038,0.498352,-0.04315791538950472,-1.286178179801709,-0.024307166155493613
29,192491887524,0.457825,-0.376221,0.629761,0.5021359999999999,0.4430522847207168,-1.2678742390345406,0.24571494894626558
30,192491909305,0.451355,-0.374756,0.634583,0.503052,0.644824474972146,-1.2528771837694441,0.36355564294427056
31,192491930345,0.45013400000000003,-0.368652,0.6405029999999999,0.50116,0.6530619364534179,-1.2410719687570806,0.36127462570492846
32,192491946764,0.45184300000000005,-0.360596,0.6461180000000001,0.498291,0.5334181940594573,-1.2322886130232096,0.2811423723495142
33,192491969245,0.45562700000000006,-0.352478,0.651001,0.494324,0.3173840233020192,-1.2276594916773762,0.15953986809187576
34,192491990324,0.460449,-0.344482,0.65564,0.48925799999999997,0.04590103780328574,-1.2251560299121027,0.022650905240313535
35,192492006762,0.465454,-0.336914,0.6601560000000001,0.483704,-0.21818315400150948,-1.2240334765557401,-0.10977442104779407
36,192492029224,0.46954300000000004,-0.32995599999999997,0.664185,0.479004,-0.44755149497202024,-1.2221245313533755,-0.23546018846010458
37,192492050496,0.47216800000000003,-0.32409699999999997,0.667786,0.475342,-0.6001982103829236,-1.2189215120493015,-0.32968533062802874
38,192492072837,0.47363299999999997,-0.319824,0.670959,0.472351,-0.6722834194898396,-1.2159935415747274,-0.3776035212765708
39,192492089338,0.474182,-0.31665,0.673584,0.470154,-0.7079135962969638,-1.2126589237525804,-0.40116195944850536
40,192492110296,0.474304,-0.314392,0.6757810000000001,0.468445,-0.7186745940008696,-1.2099602937181348,-0.406854847038309
41,192492126805,0.474121,-0.31256100000000003,0.6777340000000001,0.467041,-0.7184628141583803,-1.20717066431392,-0.40432757686819604
42,192492149209,0.47351099999999996,-0.311157,0.679321,0.46630900000000003,-0.7151508159228106,-1.204115720664509,-0.39931023132204185
43,192492170299,0.47210699999999994,-0.310974,0.680054,0.466736,-0.6886489726862483,-1.2010029097173305,-0.377632458188537
