Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
27,-5,-6,14,8,5,1,4,-4,0.499512,-0.758301,0.508301,34.5625,-19.25,-26.9375,61,65,89,-81,-122,-48,-2,16,51,-20,-46,0.225098,-0.702637,0.709961,-30.9375,39.5625,-28.0625,66,81,48
28,-1,6,7,-2,-5,-5,-3,7,0.561035,-0.688965,0.516602,20.5625,-12.0625,-28.4375,61,64,88,-22,-43,-13,35,34,-14,-9,-2,0.334961,-0.906738,0.629883,-27.75,60,-50.5625,65,81,47
29,-4,-6,7,3,0,-4,-1,-7,0.544922,-0.575684,0.458496,34.6875,2.6875,23.4375,62,63,89,-3,-21,11,39,42,38,-22,3,0.279297,-0.812988,0.449219,-31.5625,93.6875,-73.5625,65,81,45
30,-2,-1,2,3,1,0,-1,-2,0.365723,-0.699219,0.430664,8.5,29.8125,53,62,66,89,-4,-6,0,15,3,-45,-3,-10,0.105469,-0.757812,0.582031,-14.875,138,-79,65,82,40
31,-1,19,-2,-11,7,5,-3,-3,0.319824,-0.696777,0.446777,31.8125,37.375,70.3125,63,69,89,-19,-21,-5,4,45,28,0,1,-0.28125,-0.793945,0.572754,15.8125,147.125,-84.125,66,84,35
32,-1,-8,-2,4,-2,-3,-1,0,0.157715,-0.726074,0.482422,54.0625,61.0625,92.125,64,75,90,-6,-1,1,-11,-6,-1,-8,-4,-0.211426,-0.599121,0.585449,67.1875,105.75,-74,67,85,32
33,-2,-11,-25,2,-5,-5,-2,-2,0.170898,-0.643066,0.519531,59.1875,85.3125,101.688,65,80,90,3,11,-1,2,7,0,1,-2,-0.176758,-0.582031,0.579102,74.8125,65.875,-33,69,88,30
34,0,35,7,-12,-19,-3,-2,-2,0.015625,-0.682129,0.631836,45.625,111.688,123.562,66,90,90,3,1,-15,-3,-11,-29,-6,2,-0.187012,-0.494629,0.508301,93.75,44.25,-9.25,71,90,29
35,9,-17,13,12,0,-3,0,3,-0.103027,-0.648438,0.708984,32.4375,124.75,128.438,67,97,90,-1,-4,-11,-32,-20,16,0,6,-0.229004,-0.366699,0.521484,59.5,27.75,11.8125,73,92,28
36,3,17,15,11,3,-5,3,1,-0.283203,-0.741211,0.763184,5.1875,111.75,108.062,67,107,90,-1,-3,-15,-15,-35,-27,-3,-5,-0.221191,-0.272461,0.692383,64.9375,46.5625,26.5625,75,96,28
37,-10,2,-10,-7,6,6,-4,-11,-0.385254,-0.78125,0.754395,10.9375,100.688,101,68,112,90,-2,0,-3,0,-26,-22,-15,-1,-0.221191,-0.280273,0.816406,52,70.125,25.375,76,99,28
38,-15,11,14,-11,-3,0,-4,-13,-0.535156,-0.59375,0.773926,40.125,73.375,81.375,69,119,90,1,2,5,16,-20,-13,3,1,-0.289551,-0.230469,0.972656,62.625,110.312,15.6875,78,104,28
39,-1,-13,-14,-10,-2,-3,-10,-8,-0.643066,-0.542969,0.633789,18.25,65.1875,59.9375,70,125,90,-7,-4,0,-2,-26,-80,-10,-32,-0.327148,-0.318848,1.11035,63.375,125.562,9.375,79,109,27
40,3,-8,-14,1,0,-4,-4,-3,-0.842773,-0.481445,0.547852,36.9375,70.4375,60,70,129,90,4,3,3,4,21,25,8,-11,-0.390625,-0.183594,1.22803,68.5,131,-0.6875,81,116,26
41,4,4,5,3,0,-1,-2,-2,-0.891113,-0.530273,0.91748,78.8125,-24.8125,-10.4375,72,129,91,-7,-1,-3,-1,9,-1,-20,-24,-0.437012,-0.35791,1.19336,51.375,111.062,-0.5,82,123,24
42,-7,-4,-8,2,2,-2,0,-7,-0.473145,-0.443848,0.652832,-111.125,11.5625,12.75,71,129,91,-3,14,-3,-6,25,22,-8,-5,-0.507324,-0.03125,1.04346,73.125,103.5,-4.5625,83,127,24
43,-7,-4,-10,-10,-4,-1,-2,-7,-0.650391,-0.528809,0.582031,39,0.375,10.4375,71,129,91,6,-2,-3,-1,9,3,1,-9,-0.566406,-0.201172,0.86084,-16.5625,84.5625,-0.4375,83,131,23
44,2,-5,0,0,1,2,-1,-1,-0.641602,-0.380859,0.566406,2.9375,-3.1875,3,71,130,92,3,-10,-3,0,0,-2,-5,-4,-1.08691,-0.126953,1.3501,-25.9375,26.3125,-11.125,82,133,23
45,-6,0,-3,-1,-2,-1,0,1,-0.650879,-0.501465,0.631348,-2.8125,1.625,4.625,71,130,92,3,-3,-2,-2,4,-12,0,14,-0.334961,-0.60791,0.932129,57.375,-1.3125,7.5,82,130,23
46,2,2,11,0,-2,1,0,-6,-0.616699,-0.450684,0.665527,6.875,1.875,3.3125,71,130,92,-3,-1,-1,1,-10,-3,4,27,-0.781738,0.135742,0.631836,46.5,17.0625,-5.875,83,131,23
47,15,-1,-1,1,0,-2,-2,-13,-0.660645,-0.509766,0.630371,-9.125,5.375,1.9375,71,130,92,-2,0,-1,-2,-5,-2,3,-3,-0.737793,-0.0913086,0.632812,-60.3125,5.125,-8,82,132,23
48,-1,2,1,-2,-1,-1,-1,-3,-0.647949,-0.507812,0.616699,11.6875,5.375,1.4375,71,130,92,-2,-4,-2,-2,-7,-8,-1,4,-0.716797,-0.269043,0.723145,-52.0625,-2.375,0.0625,81,132,22
49,-9,-2,-4,-2,-3,-1,-2,-7,-0.66748,-0.452148,0.607422,-0.125,2.1875,-0.0625,71,131,91,1,-1,-1,-2,-6,-7,-2,7,-0.693359,-0.332031,0.763672,4.25,3.25,-1.5625,80,132,22
50,2,-1,-1,-2,0,-1,0,0,-0.667969,-0.459961,0.600586,-0.5625,1.9375,0,71,131,91,3,2,1,-1,2,0,3,7,-0.69873,-0.259277,0.752441,14.5,3.625,-2.9375,80,132,22
