timestamp,Pitch,Roll,Yaw
1573316874881759,-0.0450592,0.691846,-0.645511
1573316874903231,-0.0172064,0.684612,-0.641522
1573316874924704,0.00912457,0.680193,-0.636411
1573316874941295,0.0335596,0.676923,-0.631598
1573316874962767,0.0555036,0.674038,-0.62731
1573316874985216,0.0749194,0.670912,-0.623189
1573316875001811,0.0920533,0.66771,-0.619669
1573316875022303,0.107045,0.665271,-0.616313
1573316875044750,0.120417,0.663563,-0.613456
1573316875061343,0.13274,0.661994,-0.61101
1573316875082819,0.143394,0.659673,-0.607586
1573316875105077,0.15379,0.656462,-0.604456
1573316875129476,0.165984,0.652728,-0.60075
1573316875143143,0.180551,0.649613,-0.595296
1573316875165589,0.198225,0.645127,-0.591315
1573316875181205,0.218576,0.639331,-0.58746
1573316875202327,0.242332,0.63102,-0.583269
1573316875224777,0.26871,0.619925,-0.578332
1573316875241371,0.296898,0.607648,-0.571509
1573316875262841,0.326793,0.596651,-0.564207
1573316875285288,0.35801,0.58958,-0.5555
1573316875302624,0.38964,0.587604,-0.545748
1573316875323123,0.421186,0.58757,-0.534695
1573316875353376,0.45334,0.585824,-0.522473
1573316875361184,0.486444,0.583092,-0.511147
1573316875390468,0.519334,0.578779,-0.502049
1573316875405106,0.550684,0.574719,-0.491601
1573316875421695,0.580816,0.573481,-0.480957
1573316875446097,0.606438,0.573648,-0.472342
1573316875465616,0.630482,0.574043,-0.463476
1573316875481232,0.65319,0.574761,-0.453847
1573316875510510,0.672551,0.574915,-0.4454
1573316875525176,0.687719,0.576378,-0.438304
1573316875541743,0.701327,0.578849,-0.431151
1573316875565167,0.714294,0.581429,-0.424338
1573316875585672,0.725533,0.581252,-0.420716
1573316875602254,0.735581,0.579983,-0.418056
1573316875625680,0.746108,0.577424,-0.414841
1573316875646176,0.755474,0.574531,-0.413894
1573316875667647,0.762791,0.572289,-0.416008
1573316875684239,0.768609,0.57399,-0.416193
1573316875704733,0.77294,0.577864,-0.414568
1573316875721328,0.77529,0.582842,-0.413271
1573316875743774,0.776958,0.590378,-0.410834
1573316875765246,0.775764,0.600685,-0.408635
1573316875787719,0.771051,0.615583,-0.406327
1573316875804294,0.766168,0.632571,-0.40323
1573316875827710,0.762726,0.645568,-0.400137
1573316875841379,0.760157,0.65265,-0.396924
1573316875865775,0.758788,0.657516,-0.392721
1573316875885294,0.758581,0.661787,-0.388465
1573316875902862,0.759192,0.668801,-0.387771
1573316875924333,0.75846,0.679073,-0.382613
1573316875947759,0.759105,0.681859,-0.375433
1573316875961423,0.760743,0.675834,-0.371713
1573316875983871,0.759939,0.668649,-0.368339
1573316876005342,0.75811,0.661167,-0.36592
1573316876021934,0.758313,0.649457,-0.366283
1573316876044382,0.762298,0.632246,-0.373219
1573316876067805,0.768141,0.615365,-0.38416
1573316876081471,0.772078,0.600529,-0.395932
1573316876103917,0.774505,0.586824,-0.406684
1573316876125388,0.777762,0.570287,-0.41793
1573316876141004,0.780738,0.551361,-0.428591
1573316876163453,0.781264,0.534953,-0.438854
1573316876186877,0.779265,0.524874,-0.448727
1573316876200540,0.776363,0.521603,-0.455989
1573316876224941,0.773952,0.521292,-0.461433
1573316876245519,0.77148,0.518796,-0.465325
1573316876261053,0.768724,0.514668,-0.468008
1573316876290332,0.766322,0.513483,-0.468938
1573316876305949,0.763806,0.518202,-0.470051
1573316876320590,0.758934,0.533633,-0.468917
1573316876344989,0.751648,0.556983,-0.463525
1573316876365484,0.741707,0.579842,-0.457823
1573316876382076,0.732247,0.599873,-0.453865
1573316876403549,0.72367,0.615381,-0.449911
1573316876425996,0.71768,0.628906,-0.444629
1573316876440643,0.712967,0.637079,-0.436875
1573316876463085,0.70943,0.637454,-0.42638
1573316876485532,0.707734,0.62973,-0.41884
1573316876501148,0.706194,0.620291,-0.416793
1573316876523596,0.704591,0.613435,-0.416909
1573316876546046,0.704358,0.606463,-0.416801
1573316876560684,0.707454,0.595564,-0.417278
1573316876584108,0.712367,0.579885,-0.419376
1573316876605581,0.717582,0.563993,-0.423273
1573316876621196,0.721534,0.550584,-0.427938
1573316876643645,0.723263,0.542442,-0.43281
1573316876665117,0.723193,0.539049,-0.437204
1573316876681707,0.722463,0.534979,-0.440774
1573316876703180,0.722614,0.526914,-0.443191
1573316876725629,0.722815,0.516906,-0.446393
1573316876742220,0.722371,0.5093,-0.450993
1573316876763692,0.72108,0.506969,-0.455028
1573316876786139,0.719646,0.509239,-0.458216
1573316876802731,0.718865,0.512959,-0.459892
1573316876823227,0.718388,0.516737,-0.46161
1573316876853484,0.717098,0.527136,-0.462908
1573316876862267,0.712712,0.546846,-0.462371
1573316876882763,0.706673,0.571242,-0.46152
1573316876906187,0.700511,0.592857,-0.463352
1573316876921805,0.695844,0.611361,-0.465963
1573316876943276,0.692956,0.622003,-0.466663
1573316876965723,0.691355,0.627177,-0.460912
1573316876982317,0.69083,0.621275,-0.452254
1573316877002811,0.690904,0.610177,-0.451516
1573316877033067,0.68993,0.611133,-0.453447
1573316877041850,0.688844,0.626192,-0.448195
1573316877071132,0.689014,0.635853,-0.440148
1573316877085770,0.689448,0.628539,-0.43396
